Open,High,Low,Close,Volume
1602.119995,1602.119995,1592.640015,1602.119995,192510
1602.119995,1611.599976,1592.640015,1592.640015,223628
1592.640015,1592.640015,1583.160034,1583.160034,186708
1583.160034,1592.640015,1583.160034,1592.640015,246307
1592.640015,1592.640015,1583.160034,1592.640015,64873
1592.640015,1630.560059,1583.160034,1602.119995,406645
1602.119995,1640.040039,1602.119995,1630.560059,562235
1611.599976,1668.47998,1611.599976,1659,986285
1659,1715.880005,1659,1715.880005,1503689
1725.359985,1725.359985,1696.920044,1696.920044,350738
1696.920044,1706.400024,1687.439941,1706.400024,221518
1696.920044,1696.920044,1687.439941,1696.920044,222573
1687.439941,1706.400024,1687.439941,1687.439941,313290
1687.439941,1706.400024,1677.959961,1706.400024,211497
1677.959961,1677.959961,1659,1659,114979
1668.47998,1725.359985,1668.47998,1725.359985,1212023
1734.839966,1734.839966,1706.400024,1725.359985,355484
1725.359985,1725.359985,1706.400024,1725.359985,91245
1725.359985,1753.800049,1725.359985,1734.839966,759492
1734.839966,1763.280029,1706.400024,1753.800049,1185651
1734.839966,1763.280029,1734.839966,1734.839966,217299
1744.319946,1753.800049,1715.880005,1725.359985,141877
1734.839966,1734.839966,1659,1696.920044,232067
1668.47998,1668.47998,1630.560059,1630.560059,193038
1649.52002,1659,1630.560059,1630.560059,90717
1630.560059,1630.560059,1621.079956,1630.560059,198312
1621.079956,1621.079956,1621.079956,1621.079956,14240
1630.560059,1630.560059,1621.079956,1621.079956,13186
1621.079956,1640.040039,1611.599976,1630.560059,71730
1630.560059,1640.040039,1630.560059,1640.040039,54325
1630.560059,1649.52002,1630.560059,1640.040039,4219
1592.640015,1621.079956,1592.640015,1621.079956,18987
1602.119995,1621.079956,1602.119995,1621.079956,3165
1621.079956,1640.040039,1611.599976,1621.079956,102320
1611.599976,1630.560059,1602.119995,1630.560059,141350
1621.079956,1621.079956,1621.079956,1621.079956,10548
1583.160034,1583.160034,1573.680054,1573.680054,23734
1564.199951,1573.680054,1554.719971,1573.680054,356539
1545.23999,1564.199951,1545.23999,1564.199951,214662
1545.23999,1545.23999,1516.800049,1545.23999,464661
1488.359985,1564.199951,1488.359985,1564.199951,26899
1516.800049,1516.800049,1507.319946,1516.800049,4219
1535.76001,1535.76001,1516.800049,1526.280029,14240
1507.319946,1507.319946,1497.839966,1497.839966,16878
1497.839966,1497.839966,1497.839966,1497.839966,10548
1516.800049,1516.800049,1516.800049,1516.800049,527
1516.800049,1545.23999,1516.800049,1516.800049,54325
1545.23999,1545.23999,1545.23999,1545.23999,10548
1545.23999,1564.199951,1545.23999,1564.199951,29536
1573.680054,1573.680054,1564.199951,1564.199951,17932
1554.719971,1564.199951,1554.719971,1554.719971,12131
1554.719971,1564.199951,1554.719971,1564.199951,66983
1564.199951,1564.199951,1516.800049,1526.280029,44304
1535.76001,1535.76001,1526.280029,1526.280029,55907
1516.800049,1535.76001,1516.800049,1516.800049,107067
1516.800049,1516.800049,1516.800049,1516.800049,11603
1535.76001,1564.199951,1535.76001,1564.199951,64346
1564.199951,1592.640015,1564.199951,1583.160034,177215
1583.160034,1583.160034,1564.199951,1573.680054,59599
1545.23999,1564.199951,1545.23999,1554.719971,28481
1554.719971,1583.160034,1535.76001,1583.160034,59599
1573.680054,1583.160034,1564.199951,1583.160034,35865
1573.680054,1592.640015,1573.680054,1592.640015,49051
1592.640015,1611.599976,1592.640015,1592.640015,71202
